Scientific_Name,English_Name,Tarsus_Length,Bill_Total_Length,Wing_Chord,Bill_Width,Bill_Depth,Wing_pointedness,Tail_Length,Gape_width
Carpodectes hopkei,Black-tipped Cotinga,23.46,22.14,153.2,7.3,6.82,17.26,90.48,17.88
Carpodectes nitidus,Snowy Cotinga,24.4,19.38,132,6.12,7.5,19.02,75,14.53
Carpornis cucullata,Hooded Berryeater,23.4,18.2,113.25,5.72,7.15,19.8,102,12.75
Carpornis melanocephala,Black-headed Berryeater,21.57,19,109.5,5.47,6.9,21.07,91.75,14.53
Casiornis fuscus,Ash-throated Casiornis,19.64,16.16,75.57,5.87,5.01,13.4,72.79,NA
Casiornis rufus,Rufous Casiornis,19.93,18.55,83,5.88,5.03,12.8,80,NA
Cephalopterus glabricollis,Bare-necked Umbrellabird,40.7,32.07,237.75,18.43,15.7,15.2,118,32.17
Cephalopterus ornatus,Amazonian Umbrellabird,46.55,56.63,263.19,19.49,19.75,17.12,160.76,31.73
Cephalopterus penduliger,Long-wattled Umbrellabird,44.15,37.05,247,18.6,17.05,14.38,129.25,34.33
Pipra chloromeros,Round-tailed Manakin,15.79,12.89,60.65,3.94,4.05,18.49,26.3,9.62
Pipra cornuta,Scarlet-horned Manakin,17.35,13.62,65.12,4.08,4.35,13.78,44,9.6
Pipra erythrocephala,Golden-headed Manakin,13.14,12.39,57.18,3.62,4.34,19.95,19.5,9.16
Pipra mentalis,Red-capped Manakin,14.57,12.2,59,4.18,4.36,16.5,27.83,9.5
Pipra rubrocapilla,Red-headed Manakin,12.58,10.39,61.22,3.95,4.1,19.65,31.38,9.95
Cercomacra brasiliana,Rio de Janeiro Antbird,20.47,16.48,59.76,4.54,4.35,9.07,71.39,NA
Cercomacra carbonaria,Rio Branco Antbird,23.63,16.77,65.1,4.87,4.42,8.49,70.15,8.12
Cercomacra cinerascens,Grey Antbird,19.98,19.45,62.75,5.04,4.58,7.22,66.02,NA
Cercomacra ferdinandi,Bananal Antbird,21.94,16.32,68.48,4.76,4.68,9.16,71.79,8.86
Cercomacra manu,Manu Antbird,23.1,20.2,70.5,5.1,4.75,9.18,71.5,NA
Cercomacra melanaria,Mato Grosso Antbird,26.13,18.57,70.26,4.48,4.32,8.27,75.92,NA
Cercomacra nigricans,Jet Antbird,22.92,18.07,65.3,4.76,4.63,9,66.07,NA
Cercomacra nigrescens,Blackish Antbird,23.88,20,64.69,4.58,4.74,6.74,65.72,8.8
Cercomacra laeta,Willis's Antbird,21.76,17.26,58.8,4.49,4.52,8.21,53.95,NA
Cercomacra nigrescens,Blackish Antbird,23.6,20.68,64.33,4.77,4.84,7.47,65.87,9.45
Cercomacra parkeri,Parker's Antbird,22.8,17.78,63.18,4.54,4.36,8.15,65.17,9.45
Cercomacra serva,Black Antbird,22.3,17.2,61.84,4.57,4.41,9.88,57.94,8.9
Cercomacra tyrannina,Dusky Antbird,22.3,18.21,62.43,4.97,4.51,8.51,62.83,9.68
Deconychura stictolaema,Spot-throated Woodcreeper,19.82,19.6,82.36,4.77,4.43,17.02,84,NA
Certhiaxis cinnamomeus,Yellow-chinned Spinetail,18.73,15.97,58.93,3.01,3.41,13.75,60.79,NA
Certhiaxis mustelinus,Red-and-white Spinetail,19.39,16.5,56.86,3.13,3.27,12.95,53.6,6.58
Chamaeza campanisona,Short-tailed Antthrush,37.77,24.02,97.28,5.74,6.72,14.59,63.7,10.9
Chamaeza meruloides,Cryptic Antthrush,36.67,18.6,87,5.5,5.5,13.32,72,10.1
Chamaeza mollissima,Barred Antthrush,37.06,21.18,89.45,5.61,5.25,12.81,63.73,NA
Chamaeza nobilis,Striated Antthrush,39.11,25.07,105.98,6.87,7.26,16.42,59.44,NA
Chamaeza ruficauda,Rufous-tailed Antthrush,36.21,18.82,87.94,5.32,5.54,13.64,74.92,8.55
Chamaeza turdina,Schwartz's Antthrush,36.67,20.65,89.05,5.85,5.77,14.15,63.99,11.68
Chiroxiphia boliviana,Yungas Manakin,17.85,12.06,68.25,3.76,4.35,16.92,43.51,8.57
Chiroxiphia caudata,Blue Manakin,19.51,14.08,75.96,4,4.87,17.56,57.14,9.89
Chiroxiphia lanceolata,Lance-tailed Manakin,18.32,12.24,70.2,4.08,4.22,11.16,47.8,8.68
Chiroxiphia linearis,Long-tailed Manakin,17.5,11.8,69.9,4.15,4.47,9.6,104,9.68
Chiroxiphia pareola,Blue-backed Manakin,17.73,11.42,69.31,4.6,4.88,12.18,34.38,10.63
Xenopipo flavicapilla,Yellow-headed Manakin,15.4,12.57,78.25,3.88,3.77,18.88,49.5,8.75
Xenopipo unicolor,Jet Manakin,14.65,13.76,72,3.73,4,19.1,45.81,10.03
Cichlocolaptes leucophrus,Pale-browed Treehunter,22.56,NA,91.3,4.89,6.39,18.56,80.71,NA
Cichlocolaptes mazarbarnetti,Cryptic Treehunter,22.7,NA,93.31,4.71,6.6,17.57,82.91,NA
Cinclodes albidiventris,Northern Cinclodes,28.35,18.52,97.42,3.22,3.8,22.49,72.44,NA
Cinclodes albiventris,Buff-winged Cinclodes,26.38,17.98,95.29,3.02,3.8,21.94,70.89,NA
Cinclodes antarcticus,Blackish Cinclodes,26.82,23.48,109.46,3.72,4.76,27.1,79.75,NA
Cinclodes aricomae,Royal Cinclodes,29.33,27,112.87,4.2,5.6,21.37,78,8.1
Cinclodes atacamensis,White-winged Cinclodes,30.61,25.72,111.11,3.67,4.74,23.06,86.2,NA
Cinclodes comechingonus,Cordoba Cinclodes,23.35,16.5,88.08,3.02,3.73,23.7,71,NA
Cinclodes excelsior,Stout-billed Cinclodes,30.91,27.07,112.7,4.64,5.7,22.03,87.75,NA
Cinclodes fuscus,Bar-winged Cinclodes,23.37,18.23,99.6,3.14,3.79,29.83,75,NA
Cinclodes nigrofumosus,Chilean Seaside Cinclodes,31.76,27.92,115.5,4.46,5.51,21.23,90.4,NA
Cinclodes olrogi,Olrog's Cinclodes,24.2,NA,89.1,3,3.37,25.2,NA,NA
Cinclodes oustaleti,Grey-flanked Cinclodes,25,20.58,92.66,3.07,3.8,25.09,69.15,6.15
Cinclodes pabsti,Long-tailed Cinclodes,30.59,23.45,106.63,4.09,4.63,23.47,91.96,6.85
Cinclodes palliatus,White-bellied Cinclodes,36.41,28.88,130.9,4.58,5.92,17.88,98.25,9.68
Cinclodes patagonicus,Dark-bellied Cinclodes,28.47,24.52,99.57,3.43,4.27,25.41,76.5,7.98
Cinclodes taczanowskii,Peruvian Seaside Cinclodes,29.98,26.02,113.4,4.28,5.33,24,88.25,NA
Clibanornis dendrocolaptoides,Canebrake Groundcreeper,29.93,26.15,92.14,4.37,6.03,10.23,96.06,NA
Hylocryptus erythrocephalus,Henna-hooded Foliage-gleaner,27.17,32.2,91.58,4.81,6.72,9.08,86.35,10.2
Hylocryptus rectirostris,Henna-capped Foliage-gleaner,27.34,28.2,98.04,4.62,6.19,11.88,91.87,NA
Automolus rubiginosus,Ruddy Foliage-gleaner,25.54,26.06,85.74,4.69,6.82,10.43,76.86,NA
Automolus rufipectus,Santa Marta Foliage-gleaner,23.95,26,85.14,4.83,6.83,11.49,78.48,NA
Clytoctantes alixii,Recurve-billed Bushbird,21.2,24.15,74.03,4.29,9.13,9.86,58.93,11
Clytoctantes atrogularis,Rondonia Bushbird,22.13,21.8,77.45,5,8.97,7.32,63.65,11.15
Cnemarchus erythropygius,Red-rumped Bush Tyrant,30.17,22.37,142.89,5.12,5.97,25.91,102.24,11.66
Cnemotriccus fuscatus,Fuscous Flycatcher,18.25,13.79,66.61,5.42,4.05,14.06,62.5,NA
Cnipodectes subbrunneus,Brownish Twistwing,18.9,16.82,85.4,6.5,5.02,14.9,75.2,NA
Cnipodectes superrufus,Rufous Twistwing,22,19.13,116.67,6.83,5.2,18.9,112,12.4
Colonia colonus,Long-tailed Tyrant,15.09,12.52,80.09,5.42,4.17,18.84,159.72,10
Colorhamphus parvirostris,Patagonian Tyrant,17.4,11.28,61.12,3.35,2.73,18.2,52.5,NA
Conioptilon mcilhennyi,Black-faced Cotinga,24.15,20.87,146.33,7.22,6.44,18.38,90.33,17.48
Conopias albovittatus,White-ringed Flycatcher,17.35,19.8,81.65,7.75,5.8,21.65,65.8,NA
Conopias cinchoneti,Lemon-browed Flycatcher,17.4,19.95,83.42,6.7,5.75,19.38,66.92,9.68
Conopias parvus,Yellow-throated Flycatcher,16.88,20.04,81.12,7.96,6.15,19.55,65,NA
Conopias trivirgatus,Three-striped Flycatcher,15.1,16.57,65,5.85,4.8,19.05,51.25,NA
Conopophaga ardesiaca,Slaty Gnateater,30.15,17.41,71.22,5.65,4.28,14.09,46.41,NA
