Scientific_Name,English_Name,Tarsus_Length,Bill_Total_Length,Wing_Chord,Bill_Width,Bill_Depth,Wing_pointedness,Tail_Length,Gape_width
Hypocnemis ochrogyna,Rondonia Warbling Antbird,20.03,15.43,54.98,4.19,4.01,8.29,41.29,NA
Hypocnemis peruviana,Peruvian Warbling Antbird,19.12,17.09,54.1,4.46,4.61,9.24,38.22,8.78
Hypocnemis rondoni,Manicore Warbling-Antbird,19.57,16.37,52.1,4.43,4.07,9.81,37.69,7.96
Hypocnemis striata,Spix's Warbling Antbird,19.68,16.5,52.92,4.63,3.97,8.04,41.04,NA
Hypocnemis subflava,Yellow-breasted Warbling Antbird,20.09,15.73,52.91,4.17,3.91,10.31,40.42,NA
Hypocnemoides maculicauda,Band-tailed Antbird,20.44,17.55,59.77,3.93,3.3,11.93,38.65,NA
Hypocnemoides melanopogon,Black-chinned Antbird,20.24,19.65,62.42,4.2,3.53,10.6,32.98,NA
Hypoedaleus guttatus,Spot-backed Antshrike,28.32,27.72,84.55,8.47,9.65,7.08,97.84,NA
Ilicura militaris,Pin-tailed Manakin,17.8,9.55,60.75,2.65,3.12,22.6,48.5,7.72
Inezia caudata,Pale-tipped Inezia,16.82,9.96,48.54,3.6,3.08,10.54,49.5,5.2
Inezia inornata,Plain Inezia,15.28,9.95,47.47,3,2.41,16.68,44.58,5.37
Inezia subflava,Amazonian Inezia,16.23,12.25,45.5,3.9,3.05,12.08,46,NA
Inezia tenuirostris,Slender-billed Inezia,14.97,10.03,43.25,2.75,2.58,12.78,38.88,4.55
Iodopleura fusca,Dusky Purpletuft,15.5,11.03,75.75,5.83,4.45,28,37.5,10.3
Iodopleura isabellae,White-browed Purpletuft,13.56,11.51,74.99,5.4,4.28,25.93,36.46,10.46
Iodopleura pipra,Buff-throated Purpletuft,13.75,8.05,56.75,3.55,3.55,24.12,32.25,6.05
Myrmotherula guttata,Rufous-bellied Antwren,18.47,16.26,51.38,3.42,3.43,12.29,24.3,NA
Myrmotherula hauxwelli,Plain-throated Antwren,19.13,15.12,50.61,3.58,3.42,14.38,24.77,NA
Knipolegus aterrimus,White-winged Black Tyrant,23.09,19.58,82.68,4.99,4.97,18.33,74.11,9.77
Knipolegus signatus,Andean Tyrant,19.92,18.12,79.37,5.57,4.38,21.28,70.28,10.36
Knipolegus cyanirostris,Blue-billed Black Tyrant,18.83,16.73,76.58,5.1,4.3,18.25,66.28,8.22
Knipolegus franciscanus,Caatinga Black Tyrant,20.85,12.88,85.72,5.25,4.55,18.23,73.33,8.8
Knipolegus hudsoni,Hudson's Black Tyrant,20.17,17.27,70.62,4.78,4.3,20.78,68.22,9.68
Knipolegus lophotes,Crested Black Tyrant,22.77,22.31,116.51,5.8,5.84,26.39,91.71,10.33
Knipolegus nigerrimus,Velvety Black Tyrant,23.31,18.93,95.4,5.55,5.63,20.73,74.23,9.25
Knipolegus orenocensis,Riverside Tyrant,20.07,16.8,71.75,5.35,4.05,17.45,67.25,8.5
Knipolegus poecilocercus,Amazonian Black Tyrant,17.48,14.25,66.25,5.08,3.9,16.43,57.25,8.25
Knipolegus poecilurus,Rufous-tailed Tyrant,17.79,14.94,76.66,4.95,4.26,21.94,64.1,8.5
Knipolegus signatus,Andean Tyrant,21.5,18.4,79,7.1,4.5,18.5,68,10.6
Knipolegus striaticeps,Cinereous Tyrant,19.61,15.32,57.3,3.88,4.01,18.88,58.2,7.83
Laniisoma elegans,Brazilian Laniisoma,21.82,20.3,101.7,5.74,6.29,23.91,60.7,14.47
Laniocera hypopyrra,Cinereous Mourner,20.01,21.59,105.75,6.07,6.56,23.5,84.82,14.68
Laniocera rufescens,Speckled Mourner,21.55,20.35,108.75,6,6.92,21.65,89.75,13.75
Lathrotriccus euleri,Euler's Flycatcher,14.34,14.56,61.08,5.28,3.76,21.02,55.63,NA
Lathrotriccus griseipectus,Grey-breasted Flycatcher,14.95,12.28,60.25,4.2,3.85,15.4,57.5,7.53
Legatus leucophaius,Piratic Flycatcher,14.89,13.13,78.29,6,4.41,25.45,56.19,9.41
Lepidocolaptes affinis,Spot-crowned Woodcreeper,20.54,31.35,108.62,4.19,5.48,23.04,105.9,NA
Lepidocolaptes albolineatus,Lineated Woodcreeper,16.76,30.8,87.1,3.92,4.9,23.25,83,NA
Lepidocolaptes angustirostris,Narrow-billed Woodcreeper,19.18,31.41,96.45,3.82,5.13,19.19,84.02,NA
Lepidocolaptes albolineatus,Lineated Woodcreeper,17.4,NA,90.75,4.5,5.2,21.25,NA,NA
Lepidocolaptes falcinellus,Scalloped Woodcreeper,19.47,32.65,93.58,3.9,5.12,22.07,79.5,NA
Lepidocolaptes albolineatus,Lineated Woodcreeper,18.75,NA,96.62,4.6,5.83,20.25,NA,NA
Lepidocolaptes albolineatus,Lineated Woodcreeper,17.55,NA,94.95,4.3,5.55,21.5,NA,NA
Lepidocolaptes lacrymiger,Montane Woodcreeper,19.72,32.43,105.96,4.22,5.57,23.63,93.42,9.85
Lepidocolaptes albolineatus,Lineated Woodcreeper,17.88,28.35,89.34,4.4,5.18,21.9,83.5,NA
Lepidocolaptes leucogaster,White-striped Woodcreeper,21.07,36.73,114.86,4.01,5.59,27.81,101.25,NA
Lepidocolaptes souleyetii,Streak-headed Woodcreeper,18.95,35.26,93.94,4.06,5.55,21.1,90.45,NA
Lepidocolaptes squamatus,Scaled Woodcreeper,18.48,30.56,97.62,3.98,5.42,24.06,78.63,NA
Lepidothrix coeruleocapilla,Cerulean-capped Manakin,14.96,10.36,53.26,3.38,3.14,18.73,25.83,6.65
Lepidothrix coronata,Blue-crowned Manakin,13.87,11.73,57.3,3.67,3.57,17.88,26.68,7.25
Lepidothrix iris,Opal-crowned Manakin,13.45,11.21,51.5,4.61,4.22,19.21,26.88,9.14
Lepidothrix isidorei,Blue-rumped Manakin,14.15,10.33,51.04,3.35,4.26,19.68,25.03,6.08
Lepidothrix nattereri,Snow-capped Manakin,12.21,9.2,49.79,3.66,3.57,19.09,26.37,6.71
Lepidothrix serena,White-fronted Manakin,15.25,11.45,52.75,3.73,4.15,21.43,31.25,7.48
Lepidothrix suavissima,Orange-bellied Manakin,15.15,10.97,55.75,3.77,3.7,19.45,27.5,7.7
Lepidothrix vilasboasi,Golden-crowned Manakin,13.22,10.55,55.25,3.88,3.67,18.85,30.75,8.47
Leptasthenura aegithaloides,Plain-mantled Tit-Spinetail,16.95,10.14,61.88,2.32,3.06,18.4,92.2,4.92
Leptasthenura andicola,Andean Tit-Spinetail,19.78,11.41,71.83,2.35,3.24,18.46,92.21,5.3
Leptasthenura fuliginiceps,Brown-capped Tit-Spinetail,18.25,10.9,62.56,2.43,3.03,15.96,90.5,5.33
Leptasthenura pileata,Rusty-crowned Tit-Spinetail,19.29,11.92,63.76,2.4,2.95,15.79,102,5.08
Leptasthenura platensis,Tufted Tit-Spinetail,17.3,10.3,57.96,2.41,3.13,18.59,92.5,5.08
Leptasthenura setaria,Araucaria Tit-Spinetail,20.58,14.3,55.5,2.62,2.98,19.48,109.33,NA
Leptasthenura striata,Streak-backed Tit-Spinetail,17.93,10.3,60.57,2.37,3.03,15.5,92,5
Leptasthenura striolata,Striolated Tit-Spinetail,16.9,8.37,52.57,2.39,2.74,15.97,88.19,5.05
Leptasthenura xenothorax,White-browed Tit-Spinetail,20.35,10.2,66.42,2.2,2.92,15.3,88,NA
Leptopogon amaurocephalus,Sepia-capped Flycatcher,14.18,13.9,62.49,3.71,4.03,18.65,55.01,NA
Leptopogon rufipectus,Rufous-breasted Flycatcher,15.45,14.74,66.27,3.7,3.86,11.79,60.44,6.5
Leptopogon superciliaris,Slaty-capped Flycatcher,15.15,14.86,64.82,4.05,4.01,18.73,60.31,8.07
Leptopogon taczanowskii,Inca Flycatcher,15.08,11.75,64.6,3.72,3.62,18.52,62.45,6.43
Lessonia oreas,Andean Negrito,21.84,13.55,79.06,3.08,3.27,22.38,48.48,7.03
Lessonia rufa,Patagonian Negrito,21.7,13.69,72.9,3.02,3.08,24.68,44.67,6.28
Limnoctites rectirostris,Straight-billed Reedhaunter,17.82,25.55,59.3,2.9,4.06,13.12,68.5,6.6
Cranioleuca sulphurifera,Sulphur-bearded (throated) Spinetail,18.6,16.04,57.31,2.71,3.47,16.64,71.6,5.58
Limnornis curvirostris,Curve-billed Reedhaunter,25.71,23.82,70.4,3.5,4.64,13.96,70.39,7.47
Liosceles thoracicus,Rusty-belted Tapaculo,28.07,21.36,72.57,4.25,5.53,7.45,72.77,NA
Lipaugus fuscocinereus,Dusky Piha,29.69,30.06,182.4,9.78,9.64,18.48,156.64,20.82
Lipaugus lanioides,Cinnamon-vented Piha,24.62,26.15,133.75,7.95,8.28,17.02,116,17.1
Lipaugus streptophorus,Rose-collared Piha,20.18,22.67,125,8.6,7.33,21.43,95.75,15.18
Lipaugus unirufus,Rufous Piha,21.12,24,130.75,7.25,8.25,20.45,112,16.73
Lipaugus uropygialis,Scimitar-winged Piha,29.44,28.2,140.1,8.22,9.46,11.64,143.6,18.64
Lipaugus vociferans,Screaming Piha,21.51,27.56,123,8.15,8.18,16.9,110.5,18.18
Lipaugus weberi,Chestnut-capped Piha,22.48,22.25,127.75,6.95,7.12,20.95,106.9,17.43
Lochmias nematura,Sharp-tailed Streamcreeper,24.3,23.76,68.13,3.26,4.5,11.62,47,8.52
Lophotriccus eulophotes,Long-crested Pygmy Tyrant,14.86,11,46.6,3.9,2.94,17.4,38.4,6.5
Lophotriccus galeatus,Helmeted Pygmy Tyrant,15.3,11.82,42.5,3.75,3.02,17.25,36.5,NA
Lophotriccus pileatus,Scale-crested Pygmy Tyrant,15.14,13.19,48.93,3.6,3.27,15.73,39.29,7.55
Lophotriccus vitiosus,Double-banded Pygmy Tyrant,14.44,11.74,47.94,3.92,2.95,10.3,35.94,NA
Machaeropterus deliciosus,Club-winged Manakin,17.23,11.78,61,3.88,3.45,20.52,22.67,8.68
Machaeropterus eckelberryi,Painted Manakin,13.95,9.7,55.62,3.4,3.2,25.55,22.5,8.03
Machaeropterus pyrocephalus,Fiery-capped Manakin,14.17,10.11,52.22,3.5,3.19,23.37,22.15,8.04
Machaeropterus regulus,Eastern Striped Manakin,13.86,9.96,52.71,3.2,3.54,23.69,22.14,7.01
Machaeropterus striolatus,Western Striped Manakin,13.98,10.96,51.66,3.35,3.1,20.24,22.6,7.9
Machetornis rixosa,Cattle Tyrant,28.86,22.4,93.56,5.62,5.12,18.04,76.3,NA
Mackenziaena leachii,Large-tailed Antshrike,36.38,25.85,89.51,6.06,9.19,4.62,130.43,NA
Mackenziaena severa,Tufted Antshrike,34.44,26.7,91.18,6.17,8.55,6.78,116.16,NA
Manacus aurantiacus,Orange-collared Manakin,18.95,12.38,46.75,3.6,3.3,13.62,28.5,8.03
Manacus candei,White-collared Manakin,20.98,12.6,55.06,4.03,4.06,17.16,35.62,9.07
Manacus manacus,White-bearded Manakin,18.92,11.84,50.86,4.49,4.29,15.9,33.24,10.81
Manacus vitellinus,Golden-collared Manakin,20.75,13.01,54.4,4.28,4.14,13.58,33.78,9.71
Margarornis bellulus,Beautiful Treerunner,18.77,14.62,71.65,3.27,4.1,18.63,69.38,7.6
Margarornis rubiginosus,Ruddy Treerunner,19.67,13.15,75.1,2.81,3.47,17.89,75.5,7.12
Margarornis squamiger,Pearled Treerunner,19.99,15.48,76.71,3.07,3.63,20.75,73.32,6.98
Margarornis stellatus,Star-chested Treerunner,20.51,15.25,76.64,3.54,4.03,19.25,71.14,8.35
Masius chrysopterus,Golden-winged Manakin,16.77,10.18,59.11,4.05,3.8,11.74,41.7,7.25
Synallaxis propinqua,White-bellied Spinetail,21.95,17.43,59.08,3.23,3.64,10.82,73.33,7.83
Mecocerculus calopterus,Rufous-winged Tyrannulet,17.1,11.3,51.2,3,2.68,18.12,46,5.46
Mecocerculus hellmayri,Buff-banded Tyrannulet,16.47,9.43,54.75,2.75,2.85,19.3,43.5,5.97
Mecocerculus leucophrys,White-throated Tyrannulet,24.13,16.8,64.5,4.03,3.9,10.1,48,NA
Mecocerculus minor,Sulphur-bellied Tyrannulet,16.98,11.05,57.5,2.85,2.73,18.52,51,6.18
Mecocerculus poecilocercus,White-tailed Tyrannulet,15.11,9.14,56.91,2.4,2.54,14.14,43.52,5.34
Mecocerculus stictopterus,White-banded Tyrannulet,17.91,12.39,62.25,2.86,2.96,15.32,60.3,5.46
Megarynchus pitangua,Boat-billed Flycatcher,19.01,33.56,112.69,14.05,10.47,23.32,85.59,17.56
Megastictus margaritatus,Pearly Antshrike,19.87,20.4,68.7,5.2,5.21,13.16,46.68,NA
Megaxenops parnaguae,Great Xenops,18.24,15.61,75.26,3.75,5.98,15.11,65.51,9.2
Melanopareia elegans,Elegant Crescentchest,25.87,17.02,53.12,3.35,3.61,6.24,57.87,NA
Melanopareia maranonica,Maranon Crescentchest,25.89,17.33,58.87,3.68,3.94,7.79,72.83,NA
Melanopareia maximiliani,Olive-crowned Crescentchest,22.02,14.3,52.12,3.07,3.37,7.15,72.3,7.2
Melanopareia torquata,Collared Crescentchest,20.05,12.43,51.51,3.32,3.64,7.35,59.88,7.71
Merulaxis ater,Slaty Bristlefront,26.13,20.62,65.61,4.34,5.28,5.21,82.06,NA
Merulaxis stresemanni,Stresemann's Bristlefront,25.3,21,75,4.9,5.9,4,97,10
Metopothrix aurantiaca,Orange-fronted Plushcrown,14.54,11.8,56.86,3.14,3.26,22.78,48.5,6.5
Microrhopias quixensis,Dot-winged Antwren,16.44,15.72,52.98,4.12,3.82,14.08,52.61,8.82
Xenops milleri,Rufous-tailed Xenops,15.49,13.24,63.46,3.12,3.74,21.26,38.6,NA
Mionectes macconnelli,McConnell's Flycatcher,15.34,13.72,59.25,4.08,3.51,16.27,46.12,8.97
Mionectes oleagineus,Ochre-bellied Flycatcher,14.83,12.91,61.25,3.88,3.57,17.38,47.8,7.76
Mionectes olivaceus,Olive-striped Flycatcher,16.5,15.47,65.93,4.12,3.81,17.74,50.98,8.1
Mionectes rufiventris,Grey-hooded Flycatcher,16.17,14.13,68.43,4.28,3.75,13.28,55.02,6.9
Mionectes striaticollis,Streak-necked Flycatcher,17.57,14.35,67.14,4.2,3.45,17.13,53.51,7.33
Mitrephanes olivaceus,Olive Tufted Flycatcher,12.15,12.65,67.5,4.38,2.92,21.88,58.25,7.57
Mitrephanes phaeocercus,Northern Tufted Flycatcher,12.47,12.03,68.75,4.2,2.58,25.3,62.25,NA
Muscigralla brevicauda,Short-tailed Field Tyrant,25.18,15.06,60.9,3.62,3.05,15.52,34.4,NA
Muscipipra vetula,Shear-tailed Grey Tyrant,20.2,17.48,111.75,6.47,4.85,26.75,111,NA
Muscisaxicola albifrons,White-fronted Ground Tyrant,37.61,23.01,159.78,4.65,5.76,37.33,90.49,10.18
Muscisaxicola albilora,White-browed Ground Tyrant,30.24,19.28,113.7,4.03,4.14,33,70.02,8.85
Muscisaxicola alpinus,Paramo Ground Tyrant,31.28,17.89,126.29,3.88,4.42,29.82,78.72,8.91
Muscisaxicola capistratus,Cinnamon-bellied Ground Tyrant,28.06,19.32,114.63,3.94,4.27,35.31,68.78,8.07
Muscisaxicola cinereus,Cinereous Ground Tyrant,28.62,16.82,105.62,3.2,3.4,29.57,66.5,7.1
Muscisaxicola flavinucha,Ochre-naped Ground Tyrant,31.66,19.6,137.01,3.72,4.57,38.9,78.41,8.22
Muscisaxicola fluviatilis,Little Ground Tyrant,18.97,16.03,73.47,3.95,3.67,19.58,50.65,7.77
Muscisaxicola frontalis,Black-fronted Ground Tyrant,31.66,21.32,117.29,4.02,4.22,31.89,72.78,9.14
Muscisaxicola griseus,Plain-capped Ground Tyrant,32.27,19.16,120.22,3.42,4.01,26.74,79.6,8.15
Muscisaxicola juninensis,Puna Ground Tyrant,27.83,17.02,111.37,3.15,3.83,28.87,72.17,7.22
Muscisaxicola maclovianus,Dark-faced Ground Tyrant,28.95,17.49,104.92,3.51,3.83,33.59,65.76,7.87
Muscisaxicola maculirostris,Spot-billed Ground Tyrant,25.46,16.74,85.26,3.4,3.55,26.25,60.56,7.44
Muscisaxicola rufivertex,Rufous-naped Ground Tyrant,28.18,19.49,105.15,3.62,4.28,26.94,71.28,8.35
Myiarchus antillarum,Puerto Rican Flycatcher,22.58,23.53,85.33,6.38,5.63,17.32,77.5,11.57
Myiarchus apicalis,Apical Flycatcher,22.3,21.98,86.75,7.45,5.75,8.45,88.5,9.57
Myiarchus barbirostris,Sad Flycatcher,18.02,19.62,71.25,6.75,4.22,15.4,69.75,NA
Myiarchus cephalotes,Pale-edged Flycatcher,20.39,22.72,88.76,6.1,5.53,17.02,88.86,10.98
Myiarchus cinerascens,Ash-throated Flycatcher,22.7,22.85,96.75,6.67,5.92,20.43,91,NA
Myiarchus crinitus,Great Crested Flycatcher,20.38,22.44,101.8,8.57,7.57,21.4,92.8,10.65
Myiarchus ferox,Short-crested Flycatcher,21.11,21.49,85.95,8.42,5.86,13.31,85.84,11.36
Myiarchus magnirostris,Galapagos Flycatcher,21.26,17.96,67.4,5.67,4.2,13.98,63.8,NA
Myiarchus nugator,Grenada Flycatcher,24.75,27.23,95.75,8.62,6.7,13.78,90.5,NA
Myiarchus nuttingi,Nutting's Flycatcher,18.32,16.57,80.5,6.45,5.35,18.52,79.65,10.88
Myiarchus oberi,Lesser Antillean Flycatcher,23.3,25.75,95.75,8.07,6.42,15.32,89,10.47
Myiarchus panamensis,Panamanian Flycatcher,22.95,21.5,90.17,7.7,6.4,17.22,88.5,10.32
Myiarchus phaeocephalus,Sooty-crowned Flycatcher,22.52,22.57,92.5,7.15,5.43,12.2,90,NA
Myiarchus sagrae,La Sagra's Flycatcher,19.23,22.38,82,6.6,4.92,13.7,80,NA
Myiarchus semirufus,Rufous Flycatcher,21.6,24.12,87.75,7.3,5.35,12.38,87.5,NA
Myiarchus stolidus,Stolid Flycatcher,21.56,22.3,85,6.53,5.07,12.9,83,NA
Myiarchus swainsoni,Swainson's Flycatcher,18.51,19.94,86.47,8.11,5.7,16.64,78.96,12.45
Myiarchus tuberculifer,Dusky-capped Flycatcher,19.17,21.46,80.11,7.05,5.28,19.51,75.44,10.15
Myiarchus tyrannulus,Brown-crested Flycatcher,21.23,23.23,88.98,8.92,6.44,16.15,80.68,13.5
Myiarchus validus,Rufous-tailed Flycatcher,23.46,26.14,101.8,8.32,6.72,14.03,97.2,11.97
Myiarchus venezuelensis,Venezuelan Flycatcher,20,21.35,91,7.65,5.6,17.45,89,9.3
Myiarchus yucatanensis,Yucatan Flycatcher,22.23,20.57,81.38,6.88,5.97,14.78,85,NA
Myiobius atricaudus,Black-tailed Myiobius,15.82,12.6,59.53,4.99,3.18,13,59.24,NA
Myiobius barbatus,Whiskered Myiobius,14.94,13.05,62.53,4.26,3.73,16.8,54.07,NA
Myiobius sulphureipygius,Sulphur-rumped Myiobius,16.96,14.36,65.9,4.17,3.33,16.38,55.6,NA
Myiobius villosus,Tawny-breasted Myiobius,18.25,14.78,68.25,5.03,3.1,18.57,61.25,9.3
Myiodynastes bairdii,Baird's Flycatcher,24.62,27.95,116,10.1,9.1,19.82,94,13.2
Myiodynastes chrysocephalus,Golden-crowned Flycatcher,17.71,28.09,103.75,10.65,7.91,20.4,84.56,14.32
Myiodynastes hemichrysus,Golden-bellied Flycatcher,18.48,24.82,99.5,10.05,7.08,17.95,82.12,11.9
Myiodynastes luteiventris,Sulphur-bellied Flycatcher,19,24.9,108.12,9.9,8.07,25.98,79.95,13.43
Myiodynastes maculatus,Streaked Flycatcher,19.13,26.74,106.47,11.89,8.42,20.42,84.76,15.81
Myiopagis caniceps,Grey Elaenia,16.4,11.52,58.45,3.55,3.11,18.5,50.41,7
Myiopagis cotta,Jamaican Elaenia,16.68,11.72,66.25,3.12,3.05,18.5,63.25,6.6
Myiopagis flavivertex,Yellow-crowned Elaenia,17.7,12.57,61.5,4.08,3.35,17.45,56.25,NA
Myiopagis gaimardii,Forest Elaenia,17.48,11.56,57.22,3.9,3.24,18.35,51.36,NA
Myiopagis olallai,Foothill Elaenia,16.73,11.07,58.92,3.42,3.05,18.1,50.7,7.78
Myiopagis subplacens,Pacific Elaenia,19.4,13.2,68.5,3.9,3.45,16.3,65.5,7.93
Myiopagis viridicata,Greenish Elaenia,16.54,11.81,59.83,3.79,3.56,18.99,55.09,6.7
Myiophobus cryptoxanthus,Olive-chested Flycatcher,14.7,12.9,58.5,5.33,3.57,15.25,54.5,NA
Myiophobus fasciatus,Bran-colored Flycatcher,15.56,13.54,58.07,5.58,3.78,18.84,52.64,7.55
Myiophobus flavicans,Flavescent Flycatcher,17.6,13.4,68,4.05,3.33,17.3,54.25,NA
Myiophobus inornatus,Unadorned Flycatcher,16.7,11.92,61.2,4.05,3.16,20.22,47,7.57
Myiophobus phoenicomitra,Orange-crested Flycatcher,15.56,11.8,62.2,4.72,3.48,22.86,53,7.45
Myiophobus roraimae,Roraiman Flycatcher,17.25,12.93,66.38,4.95,3.35,17.97,59,NA
Myiornis albiventris,White-bellied Pygmy Tyrant,12.88,10.53,37.5,3.6,2.78,11.45,23.5,6.42
Myiornis atricapillus,Black-capped Pygmy Tyrant,12.85,11.68,34.48,3.77,2.92,14.9,16.1,6
Myiornis auricularis,Eared Pygmy Tyrant,13.6,11.35,39.75,3.25,2.62,10.25,27.5,NA
Myiornis ecaudatus,Short-tailed Pygmy Tyrant,11.62,10.35,30.95,3.03,3,16.5,17.62,NA
Myiotheretes fumigatus,Smoky Bush Tyrant,23.43,23.71,110.13,7.12,5.86,21.44,84.79,11.22
Myiotheretes fuscorufus,Rufous-bellied Bush Tyrant,22.36,21.84,105.37,6.62,5.43,22.36,82.46,10.82
Myiotheretes pernix,Santa Marta Bush Tyrant,23.9,24.8,99.97,7.73,5.73,19.8,83.77,12.7
Myiotheretes striaticollis,Streak-throated Bush Tyrant,25.27,27.37,139.85,8.07,7.47,25.83,97.97,13.14
Myiotriccus ornatus,Ornate Flycatcher,14.92,12.98,61.3,4.75,3.96,19.38,47.14,8.52
Myiozetetes cayanensis,Rusty-margined Flycatcher,18.07,15.61,83.5,5.4,4.51,15.43,70,7.67
Myiozetetes granadensis,Grey-capped Flycatcher,17.56,17.79,88.06,5.28,5.54,16.19,67.56,10.4
Myiozetetes luteiventris,Dusky-chested Flycatcher,14.81,13.31,73.57,5.03,4.01,17.98,62.57,8.27
Myiozetetes similis,Social Flycatcher,18.75,17.48,87.52,5.6,5.31,16.39,69.08,10.34
Myornis senilis,Ash-colored Tapaculo,21.86,16.54,57.94,3.5,4.38,11.98,62.04,NA
Myrmeciza longipes,White-bellied Antbird,29.14,20.64,65.22,4.25,4.53,5.37,53.14,NA
Schistocichla brunneiceps,Brownish-headed Antbird,25.54,18.5,66.23,4.48,4.75,6.31,54.68,9.55
Schistocichla caurensis,Caura Antbird,29.25,24.07,84.47,5.03,6.07,9.14,76.63,NA
Schistocichla humaythae,Humaita Antbird,25.59,21.48,68.41,4.55,5.23,7.85,53.03,NA
Myrmeciza hyperythra,Plumbeous Antbird,28.88,25.14,77.5,5.26,6.2,4.99,55.94,NA
Schistocichla leucostigma,Spot-winged Antbird,26.34,21.84,66.24,4.46,4.88,8.16,55.54,NA
Schistocichla rufifacies,Rufous-faced Antbird,25.81,20.7,66.89,4.58,4.74,8.5,56.33,NA
Schistocichla saturata,Roraiman Antbird,25,19.1,64.32,4.47,4.78,10.02,59.85,9.23
Schistocichla schistacea,Slate-colored Antbird,25.32,19.05,64.28,4.4,4.66,9.87,48.01,NA
Myrmoborus leucophrys,White-browed Antbird,25.09,18.22,64.88,4.56,4.65,12.84,43.8,NA
Percnostola lophotes,White-lined Antbird,30.69,21.62,74.28,5.11,5.78,9.89,54.69,11.55
Myrmoborus lugubris,Ash-breasted Antbird,26.54,19.45,66.69,4.96,5.2,11.27,39.91,10.75
Myrmoborus melanurus,Black-tailed Antbird,25.43,16.75,61.87,4.73,4.87,7.57,39.69,NA
Myrmoborus myotherinus,Black-faced Antbird,25.4,17.57,62.1,4.24,4.58,14.08,40.07,10.1
Myrmochanes hemileucus,Black-and-white Antbird,20.88,18.78,53.61,4.11,3.4,12.07,33.73,8.33
Myrmoderus eowilsoni,Cordillera Azul antbird,27.42,20.3,69.54,5.27,5.05,7.27,63.08,10.3
Myrmeciza ferruginea,Ferruginous-backed Antbird,26,23.15,63.76,4.14,4.46,6.79,54.77,NA
Myrmeciza loricata,White-bibbed Antbird,24.91,17.43,60.33,3.58,3.62,9.07,64.84,NA
Myrmeciza ruficauda,Scalloped Antbird,22.56,18.73,66.71,3.83,4.77,9.9,50.68,NA
Myrmeciza squamosa,Squamate Antbird,27.21,16.26,59.98,3.7,3.67,8.19,64.31,NA
Myrmeciza atrothorax,Black-throated Antbird,25.02,16.62,55.29,3.85,3.89,10.53,51.91,NA
Myrmorchilus strigilatus,Stripe-backed Antbird,29.48,15.82,61.88,3.37,4.35,7.31,60.31,NA
Myrmornis torquata,Wing-banded Antbird,24.75,23.66,89.78,4.56,5.16,10.08,37.14,11.2
Myrmothera campanisona,Thrush-like Antpitta,40.18,21.2,77.81,5.38,5.78,5.99,35.59,11.7
Myrmothera simplex,Tepui Antpitta,42.65,20.13,81.97,5.11,5.75,7.09,46.77,10.37
Myrmothera campanisona,Thrush-like Antpitta,42.22,NA,79.77,5.71,5.53,NA,39.86,NA
Myrmotherula ambigua,Yellow-throated Antwren,15.65,14.82,40.9,3.34,3.09,8.95,22.86,5.9
Myrmotherula assimilis,Leaden Antwren,16.42,15.54,51.81,3.58,3.34,11.64,29.11,NA
Myrmotherula axillaris,White-flanked Antwren,15.36,14.94,51.07,3.38,3.68,13.24,36.43,8.03
Myrmotherula behni,Plain-winged Antwren,16.11,14.52,54.72,3.27,3.4,12.42,31.09,NA
Myrmotherula brachyura,Pygmy Antwren,16.3,13.9,43.45,3.12,3.03,8.55,18.6,NA
Myrmotherula cherriei,Cherrie's Antwren,16.65,16.96,50.57,3.21,3.15,8.62,29.03,NA
Myrmotherula fluminensis,Rio de Janeiro Antwren,17.18,NA,49.52,2.9,3.33,7.82,42.64,NA
Myrmotherula grisea,Yungas Antwren,15.1,13.72,52.03,3.14,3.16,14.3,31.53,7.3
Myrmotherula ignota,Moustached Antwren,15.78,12.65,42.13,3.12,2.97,9,18.19,NA
Myrmotherula iheringi,Ihering's Antwren,15.41,14.32,49.71,3.33,3.36,13.25,26.22,7.35
Myrmotherula klagesi,Klages's Antwren,16.22,15.25,46.86,3.5,3.19,8.55,28.61,6.95
Myrmotherula longicauda,Stripe-chested Antwren,17.44,15.97,48.4,3.42,2.97,9.31,34.84,NA
Myrmotherula longipennis,Long-winged Antwren,15.5,15.24,56.58,3.61,3.45,17.81,31.97,NA
Myrmotherula menetriesii,Grey Antwren,16.02,15.68,52.19,3.74,3.49,12.55,29.82,NA
Myrmotherula minor,Salvadori's Antwren,15.41,12.72,47.91,3.11,3.42,9.3,29.1,NA
Myrmotherula multostriata,Amazonian Streaked Antwren,15.22,14.18,46.84,3.17,2.98,8.96,24.66,NA
Myrmotherula pacifica,Pacific Antwren,17.53,15,50.64,3.64,3.23,8.93,28.13,NA
Myrmotherula schisticolor,Slaty Antwren,15.62,15.56,54.92,3.26,3.4,11.38,37.13,NA
Myrmotherula sclateri,Sclater's Antwren,16.47,15.24,44.9,3.27,3.16,10.73,21.51,NA
Myrmotherula snowi,Alagoas Antwren,14.23,13.91,51.34,3.5,3.83,11.4,32.57,7.3
Myrmotherula sunensis,Rio Suno Antwren,14.95,12.53,52.25,3.28,3.39,12.22,26.38,NA
Myrmotherula surinamensis,Guianan Streaked Antwren,16.98,15.44,49.36,3.46,3.11,10.69,23.78,NA
Myrmotherula unicolor,Unicolored Antwren,15.82,12.7,48.34,3.04,3.06,9.28,35.25,6.5
